proverbs ,meaning
"Ọmọdé dáwọ́tilẹ̀, ó ní òun tó ọ̀bọ; bó tó ọ̀bọ, ó tó gẹ̀gẹ̀ àyà-a rẹ̀? ",Equality is more than mere physical resemblance.
"Ọmọdé ní ẹẹ́ta lọ́wọ́, ó ní kí Èṣù wá ká ṣeré owó; ẹ ta-á ha tó Èṣùú sú epo lá? ",People who come into some money for the first time are wont to overestimate their sudden worth.
Ọ̀mùtí gbàgbé ìṣẹ́ ; alákọrí gbàgbé ọ̀la. ,Irresponsible people often indulge themselves instead of taking care of their pressing problems.
Ọ̀nà ọ̀fun ò gba egungun ẹja. ,Everybody and everything have some limitation
"Ọ̀ràn ò dun ọmọ ẹṣin; a mú ìyá rẹ̀ so, ó ń jẹ oko kiri. ",Said of people who show no concern for the afflictions of those close to them.
Ọ̀rọ̀ bọ̀tí-bọ̀tí ò yẹ àgbàlagbà. ,Responsible adults should be very careful about what they say.
Ọ̀rọ̀ ò dùn l nu ìyá olè. ,There is little a miscreant can say that will impress people.
Ọ̀rọ̀ wo ló wà l nu alaṣọ pípọ́n?  ,People with blemishes should keep a low profile.
"Ọ̀sán pọn o ò ṣán ẹ̀kọ; oòrún kan àtàrí o ò jẹ àmàlà; àlejò-ó wá bà ọ ní ìyẹ̀tàrí oòrùn o ò rí nǹkan fún un; o ní ‘‘Ǹjẹ́ n kò níí tẹ́ lọ́wọ́ rẹ̀ báyìí’’? O ò tíì tẹ́ lọ́wọ́ ara rẹ, ká tó ṣẹ̀ṣẹ̀ wá wípé o ó tẹ́ lọ́wọ́ ẹlòmíràn tàbí o ò níí tẹ́? ",What one thinks of oneself is every bit as important as what others think of one.
Ọ̀ṣìn ò lè mú àwòdì òkè; Bámidélé lọ̀ṣín lè mú. ,Said of people who will confront only weaklings rather than people who match them in strength
Ọ̀ṣọ́ ọlọ́ṣọ̀ọ́ ò yẹni; ṣòkòtò àgbàbọ̀ ò yẹ ọmọ èèyàn. ,One should not be a habitual borrower.
Ọwọ́ àìdilẹ̀ ní ń yọ koríko lójú àna rẹ̀.,People who are unemployed can expect to be asked to perform all sorts of belittling tasks.
"Ọ̀wọ́n là ń ra ògo, ọ̀pọ̀ là ń ra ọ̀bùn, iyekíye là ń ra ìmẹ́lẹ́ . ",Nothing is more difficult to come by than honor.
Ọ̀yájú-u baálé ní ń pàdé ìbòsí lọ́nà. ,A patriarch who misbehaves earns disgrace.
Pamí-n-kú obìnrín ṣorí bẹmbẹ sọ́kọ. ,Obstinacy only invites harsh punishment.
Pátápátá alágbẹ̀dẹ ò ju ilé àrọ lọ. ,There is a limit to a person’s bragging.
Pẹ̀lẹ́ larẹwà ń rìn; jẹ́jẹ́ lọmọ ọlọ́jà ń yan. ,Gently and carefully are the best ways to take life.
Pẹ̀lẹ́ -pẹ̀lẹ́ nijó àgbà; ara gbogbo ló di àkísà tán. ,Elderly people should not overexert themselves.
"Pẹ̀tẹ̀pẹ́tẹ̀ Ìjèṣà, ó ta sẹ́ni lára kò wọ́n. ",Disgrace is not easily washed away. 
San là ń rìn; ajé ní múni pá kọ̀rọ̀. ,"When one is in debt, one’s freedom of movement is compromised."
Sesere ń dá gọ́ọ́bú; oníkamẹ́sàn-án ń gbé ṣíbí. ,Said of a person overreaching.
"Sún mọ ọ̀hún, sún mọ́ ìhín! Bí a bá kan ògiri ilé-e baba ẹni, ṣe là ń dúró gbọin-gbọin. ",There must be a limit to how much one will back down before enemies.
Ṣàgbà-ṣàgbà ò níí sé àgbà títí láí. ,"If responsible people wish to be retain other people’s respect, they must always act like elders."
"Ṣágo ń búgò, ó ló ṣẹnu gbáṣọ́rọ́.",It is silly to pick a blemish one shares as the basis for insulting others; the pot should not call the kettle black.
"Ṣàkì ń ṣe bí ọ̀rá, egungun ń ṣe bí ẹran. ",One should not pretend to be what one is not.
Ṣáláporẹ́ ò mọ ẹgbẹ́ ẹ̀ nínú omi. ,One should know who one’s peers are and not overstep one’s bounds.
"Ṣe bóo ti mọ, ẹlẹ́wà-a Ṣàpọ́n. ","Do not overreach, and do not be too full of yourself."
‘‘Ta ní ń bẹ níbẹ̀?’’ làgbẹ́ fi ń sán ìbàǹtẹ́ wọ̀lú. ,People who make a spectacle of themselves show no regard for others. 
Ta ní mọ Òkolo lỌ́yọ̀ọ́?,Said of people who are of no account but act as though they matter.
Ta ní ń jájá ní mọ́ṣáláṣí? ,Said to tell off people who are not wanted in a company. 
Ta ní ń jẹun tájá ń jùrù? ,Said to tell off people who make their presence felt when they should rather make themselves scarce. 
Tẹ̀tẹ̀ kì í tẹ́ . ,May one never know disgrace.
Tòlótòló mọ ẹni tó ń yìnbọn ìdí sí. ,People must be careful in choosing the people they presume to approach with familiarity. 
Wèrè èèyàn ní ń wípé irú òun ò sí; irú rẹ̀ pọ̀ ó ju ẹgbàágbèje lọ. ,No one is incomparable.
Wọ́n ń pe gbẹ́nàgbẹ́nà ẹyẹ àkókó ń yọjú. ,One should not think too much of one’s capabilities.
‘‘Yan àkàrà fún mi wá ká jìjọ jẹ ’’: àìtó èèyàn-án rán níṣẹ́ ní ń jẹ́ bẹ́ẹ̀. ,People in authority should not be tentative in asserting their authority.
Yíyẹ́ là ń yẹ́ Òkóró sí tí à ń pè é nígi obì; obì tí ì bá so lórí ẹ̀ ní ń ya abidún. ,People who enjoy the respect of others should not make the mistake of overestimating their importance.
"A bímọ kò gbọ́n, a ní kó má ṣáà kú; kí ní ń pa ọmọ bí àìgbọ́n? ",A foolish child is not much better than a dead child.
"A dẹ́bọ fún igúnnugún, ó ní òun kò rú; a d bọ fún àkàlà, ó ní òun kò rú; a dẹ́bọ fún ẹyẹlé, ẹyẹlé gbẹ́bọ, ó rúbọ. ","The vulture and the ground hornbill were unfortunate in comparison with the pigeon, because they did not carry out the prescribed sacrifice."
"A fọwọ́ mú ajá o lọ, a ṣẹ̀ṣẹ̀ ń fi ìka méjì pè é.","If both hands cannot detain a dog, two fingers from a distance will not bring it back."
A fún ọ lọ́bẹ̀ o tami si; o gbọ́n ju ọlọ́bẹ̀ lọ. ,A person who thus stretches the stew he or she is given would seem to know better than the person who served it how much would suffice for the meal.
A kì í bọ́ sínú omi tán ká máa sá fún òtútù. ,Precautions are useful only before the event.
A kì í dá aró nÍṣokùn; àlà là ń lò. ,"Wherever one might be, one should respect the manners and habits of the place."
A kì í dá ẹrù ikùn pa orí. ,Responsibilities should rest where they belong.
A kì í du orí olórí kí àwòdì gbé tẹni lọ. ,One should not save others at the cost of one’s own safety.
A kì í duni lóyè ká fọ̀nà ilé-e Baálẹ̀ hanni. ,"A person should be treated either as an adversary or as an ally, not as both."
A kì í fá orí l hìn olórí. ,One does not settle a matter in the absence of the person most concerned.
A kì í fi àgbà sílẹ̀ sin àgbà. ,One should not slight one person in order to humor another.
A kì í fi àì-mọ̀-wẹ̀ mòòkùn. ,Never engage in a project for which you lack the requisite skills.
A kì í fi ara ẹni ṣe oògùn àlọ̀kúnná. ,Self-preservation is a compulsory project for all.
A kì í fi aṣọ ṣèdìdí yọwó. ,It is wise to know what one is negotiating to buy.
A kì í fi ejò sórí òrùlé sùn. ,Never let down your guard while danger still lurks. 
A kì í fi ẹ̀jẹ̀ ìbálé pa tírà; alákoto ò bí abo ọmọ. ,One must not do the forbidden if one does not expect trouble.
A kì í fi ẹran ikún gbọn ti àgbọ̀nrín nù. ,Never prefer something of little value to something of great value.
A kì í fi ẹ̀tẹ̀ sílẹ̀ pa làpálàpá. ,More serious problems deserve more immediate attention.
A kì í fi idà pa ìgbín. ,Remedies should be commensurate with the problem.
A kì í fi ìgbín sọ̀kò sórìṣà. ,"Service to the worthy should be performed with decorum, not with insult."
A kì í fi iná sórí òrùlé sùn. ,Better take care of problems before relaxing.
A kì í fi ìtìjú kárùn. ,Never be too shy to speak out on your own behalf.
A kì í fi ìyá ẹní dákú ṣeré. ,Never trifle with serious matters.
A kì í fi ogun dán ẹ̀ṣọ́ wò.,Do not play with a loaded and primed gun.
A kì í fi ohun sọ́wọ́ búra. ,It is foolish to tempt fate; the dishonest person exposes himself or herself to the possibility of discovery.
A kì í fi ohun-olóhun tọrẹ bí kò ṣe tẹni. ,Never be too free with other people’s property.
A kì í fi oko sin fún ìwọ̀fà. ,It does not make sense to prevent a servant one has hired from doing what one hired him to do.
A kì í fi olórí ogun ṣe ìfagun. ,The best foot is the one to put forward.
A kì í fi oníjà sílẹ̀ ká gbájúmọ̀ alápẹpẹ. ,"Focus rather on your main problem, not a sideshow."
A kì í fi owó du oyè-e alágbára.,Money won’t buy everything.
A kì í fi ọlá jẹ iyọ̀. ,Too much of a good thing can be dangerous.
A kì í fi ọ̀nà ikùn han ọ̀fun. ,Do not presume to know better than the expert. 
A kì í fi ọ̀nà odò han ikún. ,Telling someone what he or she already knows is silly.
A kì í fi ọ̀rọ̀ sílẹ̀ gbọ́ ọ̀rọ̀. ,Every obligation deserves attention.
A kì í gbá ẹni tó yọ̀bẹ mú. ,Prudence and caution are imperative in dealing with dangerous people.
A kì í gbẹ́ àwòrán gàgàrà ká má fi ọwọ́ ẹ ti nǹkan. ,Everybody needs some support.
A kì í gbé ẹran erin lérí ká máa fẹsẹ̀ wa ihò ìrẹ̀. ,"If one is blessed with plenty, one should not keep chasing after trifles."
A kì í gbé odò jiyàn-an ọṣẹ́ hó tàbí kò hó. ,"Where the claim can be put to the test, verbal argument is foolish."
A kì í gbé ọ̀pọ̀lọ́ sọnù ká tún bèrè-e jàǹto. ,Commiseration after injury is hypocritical.
A kì í gbójú-u fífò lé adìẹ àgàgà; a kì í gbójú-u yíyan lé alágẹmọ. ,To expect the impossible is to delude oneself.
A kì í gbọ́ ẹjọ́ ẹnìkan dájọ́. ,Justice requires impartiality and a full hearing.
A kì í jẹ ‘‘Mo fẹ́rẹ̀-ẹ́ ’’ lọ́bẹ̀. ,"What one missed narrowly, one cannot enjoy at all."
A kì í ka igún mọ́ ẹran jíjẹ. ,Certain things one does not stoop to do.
A kì í ka ilé òrìṣà kún ìlú. ,Do not list questionable items as part of your wealth.
A kì í ka oyún inú kún ọmọ ilẹ̀. ,Never count your chickens before they are hatched.
A kì í ka ọmọ fún òbí. ,Do not presume to know better than those most intimately involved.
A kì í kọ ọmọ bí ká sọ ọ́ ní Èwolódé? ,Childbirth is always a happy event.
A kì í léku méjì ká má pòfo. ,Never try to go in two directions at once. 
A kì í lọ́mọ lẹ́hin kọ oúnjẹ. ,No amount of anger or distress should keep one from looking after one’s dependents.
A kì í mọ ọkọ ọmọ ká tún mọ àlè-e rẹ̀. ,Never betray trust or connive at betraying it.
A kì í mú ìbọn tetere. ,Always be careful in handling dangerous matters.
A kì í mú oko mú ẹjọ́ kí ọ̀kan má yẹ̀. ,One cannot do two mind-absorbing tasks at once. 
A kì í mú ọmọ oǹdọ́pọ̀ dè. ,It is not a crime to make an offer that might be unacceptable.
A kì í mú ọmọ òṣì lọ sí Ìlọ́rọ̀. ,A person cannot transcend his or her destiny.
A kì í múlé móko kọ́kan má yẹ̀. ,One cannot go in two opposite directions at once. 
A kì í ní ẹgbàá nílé wá ẹgbàá ròde. ,Only the promise of a greater fortune should tempt one to neglect what one already has.
"A kì í pa asínwín ilé, nítorí ọjọ́ tí tòde yó bàá wá sílé. ",One should cultivate one’s own madness; one might need it to combat others’ madness.
"A kì í pa igún, a kì í jẹ igún, a kì í fi igún bọrí. ",Certain behaviors are beyond the pale.
A kì í pé kí òṣìkà ṣe é ká wò ó. ,Never tempt evil people to do their evil.
A kì í peni lólè ká máa gbé ọmọ ẹran jó. ,It is foolish to behave in ways that will confirm people’s evil opinion of one.
A kì í rán ọ̀lẹ wo ojú ọjọ́ àárọ̀. ,Never rely on the advice of people who have a vested interest in the matter being considered.
A kì í re nísun lọ dà síbú. ,Do not rob the poor to further enrich the wealthy.
A kì í rí adìẹ nílẹ̀ ká da àgbàdo fún ajá. ,Always direct help where it will be appreciated and where it will do some good.
A kì í rí àjẹkù orò. ,What must be consumed must be completely consumed.
A kì í rí bàtá nílẹ̀ ká fẹnu sín in jẹ. ,Too much talk about a problem is useless when a practical solution has presented itself. One should not make a person’s case for him or her when that person is present.
A kì í rí ewé nílẹ̀ ká fọwọ́ fámí. ,Take advantage of whatever aids are available to you.
A kì í rí ẹni ranni l rù ká yọké. ,Always avail yourself of offered help.
A kì í rí ojú ẹkùn ká tọ́ ẹkùn. ,It is foolish to invite disaster needlessly on one’s own head.
A kì í sá fún àjíà ká dìgbò lu eégún. ,Never court a greater disaster in an attempt to avert a minor one.
A kì í sin àlè kọjá odò; ohun tí ń ṣe ọṣẹ́ ò tó nǹkan. ,"If one is engaged in a dangerous venture, one should not also cast discretion to the wind."
A kì í sọ pé abẹ Ọ̀yọ mú; nígbà náà ni yó sọ pé bẹ́ẹ̀ ni òun ò tíì pọn.,Offer no braggart any opportunity to resume his bragging. 
A kì í sọrọ ìkọ̀kọ̀ lójú olófòófó. ,Be careful with your secrets.
A kì í sùn jẹ́rìí ìdí. ,Assert only those things you know for certain.
A kì í ṣe fáàárí ẹ̀ṣẹ́ dídì sọ́mọ adẹ́tẹ̀. ,Never make fun of people because of their affliction. 
A kì í ṣe fáàárí itọ́ dídà sọ́mọ a-kú wárápá. ,Never make fun of afflicted people by mimicking their affliction. 
A kì í ṣoore tán ká lóṣòó tì í. ,"Having done some good, do not hang around to compel gratitude."
A kì í ṣòwò méjì kẹran má jẹ ọ̀kan. ,One cannot effectively manage two enterprises at once. 
A kì í ti ojú ogun wẹ́fọ́n. ,Always make your preparations well ahead of the event.
A kì í ti ojú oníka mẹ́sàn-án kà á. ,One must be discreet in speaking about other people’s flaws and deformities.
"A kì í tijú bá baálé ilé jẹ akátá; bó bá mú, ìwọ náà a mú tìẹ. ",Never be too bashful to adopt the ways of the people among whom you find yourself.
A kì í wá aláṣọ-àlà nísọ̀ elépo. ,One should know the likely places to look for whatever one seeks.
A kì í wà nínú ìṣẹ́ ká perin tọrẹ. ,Always live according to your circumstances.
A kì í wíjọ́ọ wíwò ká jàre. ,One should not complain that other people are doing what one is also doing.
A kì í yin ọmọdé lójú ara rẹ̀; ìfàsẹ́hìn ní ń kángun ẹ̀. ,Children should not be praised too highly; they should always be made aware that they can be even better.
"A kúnlẹ̀ a pàgbò, alubàtá ní ‘‘ojú ò f rakù’’; o f bá wọn ṣúpó ni? ",One should always know when to take one’s leave. 
A lé tẹ̀m̀bẹ̀lẹ̀kun jìnnà bí ẹnipé kó bọ́ jù sígbó. ,No one should want anything to do with conspiracy.
"À ń fọ̀tún t ní, à ń fòsì tú ṣòkòtò, obìnrín ní a kò bá òun gbọ́ tọmọ. ",Some people are incapable of recognizing and acknowledging favors.
"À ń gba òròmọ adìẹ lọ́wọ́ ikú, ó ní wọn ò jẹ́ kí òun jẹ̀ láàtàn. ",Chicks foraging at the dump are easy prey for kites.
"À ń gbèjà Ọ̀jàá, Ọ̀jà ní ta ní ń jà lẹ́hìnkùlé òun? ",Some people do not acknowledge or appreciate favors.
"A ní ìrókò ni yó pa ọmọdé, ó bojú-wẹ̀hìn; òòjọ́ ní ń jà? ",The child obviously does not know that the fact that he does not die immediately in no way invalidates the curse.
"A ní kí olókùnrùn ṣe tó, ó ní òun ò lè ṣe tó, tò, tó. ",The person addressed has his or her priorities reversed.
"A ní kọ́mọ má kùú, o ní kò jọ bàbá kò jọ ìyá. ",
‘‘À ń jùwọ́n’’ ò ṣéé wí lẹ́jọ́; ìjà ìlara ò tán bọ̀rọ̀.,Quarrels whose causes cannot be openly admitted will not readily end.
"À ń kì í, à ń sà á, ó ní òun ò mọ ẹni tó kú; a ní, ‘‘Alákàá ẹgbàá, a-biṣu-wọ̀rọ̀-wọ̀rọ̀-lóko, a-bàgbàdo-tàkì-tàkì-l gàn’’; ó ní, ‘‘Ọlọ́dẹ ló kú, tàbí ìnájà?’’ ","A person for whom everything must be spelled out, a person who cannot make deductions from the most obvious hints, is daft indeed. "
"À ń kì í, à ń sà á, ó ní òun ò mọ ẹni tó kú; ó ń gbọ́, ‘‘Ikú mẹ́rù, pàgá, a-biṣu-ú-ta-bí-òdòdó, a-lábà-ọkà, a-roko-f yẹ-jẹ’’; ó ní, ‘‘Àgbẹ̀ ló kú, tàbí ọ̀nájà?’’ ","A person for whom everything must be spelled out, a person who cannot make deductions from the most obvious hints, is daft indeed."
"À ń sọ̀rọ̀ elégédé, obìnrín ń bèrè ohun tí à ń sọ, a ní ọ̀rọ̀ ọkùnrin ni; bí a bá kó elégédé jọ, ta ni yó sè é? ","The woman, certainly. There is no point in excluding her from a matter that will eventually involve her anyway."
"À ń sọ̀rọ̀ obìnrin, a ní ká sọ́ bàrà ká lọ gbin bàrà sódò; ta ní máa báni pa á? ",
"A rí i lójú, a mọ̀ ọ́ lẹ́nu; òṣòwò oṣẹ kì í pọ́n-wọ́-lá. ","Soap is recognizable as soap, and anyone who has ever tasted it knows that one does not lick fingers caked with soap. Each trade has its don’ts. "
"A ta bàbà, a fowó-o bàbà ra baba. ",With what one has one seeks one’s goals. 
Ààrẹ ń pè ọ́ ò ńdÍfá; bÍfá bá fọọre tí Ààrẹ́ fọbi ń kọ́? ,There is no point in attempting to restrict the action of an absolute authority.
"Àáyá bọ́ sílẹ̀, ó bọ́ sílé. ","When danger lurks, the wisest course is to run for safety."
"Àáyá gbọ́n, Ògúngbẹ̀- sì gbọ́n; bí Ògúngbẹ́-ẹ́ ti ń bẹ̀rẹ̀ ni àáyá ń tiro. ",The prey that knows its stalker’s tricks is safe.
Àbá alágẹmọ lòrìṣà ń gbà. ,One should heed the advice of trusted friends and advisers.
Àbá kì í di òtítọ́; ojo ni kì í jẹ́ ká dá a.,"Although plans may never bear fruit, people should still make them. "
Àbá ní ń di òtítọ́; ojo ni kì í jẹ́ ká da. ,"Without striving, one accomplishes nothing. "
"Àbàtì àlàpà: a bà á tì, a bá a rẹ́ . ",One reconciles oneself to matters one cannot control.
A-bayé-jẹ́ kò ṣéé fìdí ọ̀ràn hàn. ,One should keep one’s secrets from treacherous people.
Abẹ́rẹ́ ò ṣéé gúnyán. ,Some tools are inadequate for some tasks.
Abẹ́rẹ́ tó wọnú òkun ò ṣéé wá. ,Some tasks are hopelessly impossible to accomplish.
"Abiyamọ, kàgbo wàrà; ọjọ́ ń lọ.",Attend to duties on time.
Abiyamọ kì í rìn kó ṣánwọ́ ahá. ,She must be prepared to feed the baby.
Abiyamọ́ purọ́ mọ́mọ-ọ rẹ̀ jẹun. ,One uses every ruse available in the interest of one’s well-being.
Abiyamọ́ ṣọwọ́ kòtò lu ọmọ-ọ rẹ̀. ,Discretion is the better part of discipline.
Àbọ̀ṣẹ́ kì í ṣe iṣ òòjọ́; iṣẹ́-ẹ baba ẹni ní ń gbani lọ́jọ́ gan-an. ,One does not waste one’s time on trifles or hobbies.
Àbùkún layé gbà. ,Supplement rather than deplete.
Adánilóró fagbára kọ́ni.,"Once disappointed or injured, one learns to be self-reliant."
Adẹ́tẹ̀ ò gbọdọ̀ dúró de eléépín. ,Know your weaknesses.
"Adẹ́tẹ̀-ẹ̀ ní òun sẹ́ ọ̀ràn kan de àwọn ará ilé òun; ó ní bí òún bá lọ sídàálẹ̀, wọn ò j fi kàn-ìn-kàn-ìn òun wẹ̀. ",People have a knack for skirting dangerous or distasteful situations.
Adìẹ ìrànà ní ń ṣíwájú òkú.,Matters must be attended to in their proper sequence.
Adìẹ ò lè ti ìwòyí sunkún ehín. ,Everything at its proper time.
Adìẹ ò lórúnkún ẹjọ́. ,One should steer clear of actionable behavior.
"Adìẹ rí aláásáà, ó pa ìyẹ́ mọ́. ","When one sees potential danger approaching, one should take precautions."
Adìẹ-odò ò ṣéé bọ ìpọ̀nrí. ,One should use only tools proper to the task at hand.
"Àdó gba ara ẹ̀ tẹ́lẹ̀, ká tó fi oògùn sí? ",Do not seek protection from a helpless person.
A-fasẹ́-gbèjò ń tan ara-a rẹ̀ jẹ. ,The shiftless person hurts himself more than others.
A-fàtẹ́lẹwọ́-fanná kì í dúró. ,A person who has a pressing problem has no time for socializing.
Àfẹ́ẹ̀rí kan ò ju ká rí igbó ńlá bọ́ sí lọ; ẹbọ kan ò ju ọ̀pọ̀ èèyàn lọ; ‘‘Òrìṣá gbé mi lé àtète’’ kan ò ju orí ẹṣin lọ.,Practical and realistic moves are more reliable than mysterious expectations.
Afẹ́fẹ́ ń da ológìì láàmú; oníyẹ̀fun rọra. ,"When even those better situated are defeated, one must be prepared for tough times."
A-fi-tiẹ̀-sílẹ̀-gbọ́-tẹni-ẹlẹ́ni: ọ̀gànjọ́ ni wọ́n ń sìnkú-u rẹ̀. ,Do not sacrifice your self-interest to take care of others.
"Àfòmọ́ ń ṣe ara-a rẹ̀, ó ní òun ń ṣe igi. ",The host’s death will also be the parasite’s death.
Àgádágodo ò finú han ara-a wọn. ,Some secrets one should not divulge to others.
Àgùntàn ò jí ní kùtùkùyù ṣe ẹnu bọbọ. ,One should not dawdle in the morning.
Àgbà òṣìkà ń gbin ìyà sílẹ̀ de ọmọ-ọ rẹ̀. ,One’s character often affects the fortunes of one’s children. 
Àgbà ṣoore má wo bẹ̀. ,Do not advertise your acts of kindness or pointedly await acknowledgment of them.
À-gbà-bọ́ ò di tẹni. ,There is nothing like having one’s own. 
Àgbàdo kì í ṣe èèyàn; ta ní ń rí ọmọ l hìn eèsún? ,One should not overestimate the value of thing.
Àgbàká labiyamọ ń gbàjá mọ́ ọmọ-ọ rẹ̀. ,One must be thorough in discharging one’s responsibility.
Àgbàlagbàá ṣenú kẹrẹndẹn; èyí tó máa ṣe ń bẹ níkùn-un rẹ̀. ,"Be a person of thought and action, not of words."
Àgbẹ̀jẹ ò korò nílé ń lá. ,"When one is in need, one cannot be too choosy."
"A-gbé-ọ̀ọ̀dẹ̀ bí òfé, a-mọ-ara-í-ré bí oódẹ; a dẹ́bọ fún òfé, òfé ò rú, agánrán gbẹ́bọ, ó rúbọ; àsẹ̀hìnwá àsẹ̀hìnbọ̀ òfé di ará Ọ̀yọ́, agánrán di ará oko; wọ́n rò pé òfé ò gbọ́n. ",Never second-guess people who are better informed than you are.
"Àgbìgbò, rọra fò, ọdẹ́ ti dé sóko; àgbìgbò tí ò bá rọra fò á bọ́ sápò ọdẹ. ",Conditions are hazardous; it behooves everyone to take care.
Àgbò dúdú kọjá odò ó di funfun.,Propitious events can drastically change a person’s fortunes for the better.
Àgbokan là ń rọ́ Ifá adití. ,One cannot be too subtle with the daft.
Àgbọn kì í ṣe oúnjẹ ẹyẹ. ,Some things and some people are immune to some types of danger; one should not attempt the impossible.
Ahún dùn; kò tóó jẹ fúnni.,One should husband one’s resources wisely.
"Ahún ńre àjò, ó gbé ilé-e rẹ̀ dání. ",One’s dearest possessions deserve the closest attention.
"Ahún wọnú orù, ó ku àtiyọ. ",One should consider the possible consequences of one’s actions before acting.
"Àìgbọ́n ni yó pa Iṣikan; a ní ìyáa rẹ̀-ẹ́ kú, ó ní nígbà tí òún gbọ́, ṣe ni òun ń dárò; bíyàá ẹní bá kú àárò là ń dá? ",The wellbred person is always mindful of his or her obligations.
Àì-gbọ́n-léwe ni à-dàgbà-di-wèrè. ,The man turns out just as the child was; the grown person acquires his traits in childhood.
Àì-mọ̀-ọ́-gbé-kalẹ̀ leégún fi ń gba ọtí. ,Ineptitude makes an impossible job of the easiest tasks.)
Àì-mọwọ́-ọ́-wẹ̀ ni àì-bágbà-jẹ; ọmọ tó mọwọ́-ọ́ wẹ̀ á bágbà jẹ. ,"To qualify to live in society, one must learn the social graces."
"Àìpé, ‘‘Tìrẹ nìyí’’ ní ń bí ayé nínú. ","Failure to take account of people’s possible influence on one’s affairs incites their anger. As long as one assumes humility, people will let one be."
"Àì-roko, àì-rodò tí ń ṣápẹ́ fún eégún jó. ",It is an idler who makes music for masqueraders to dance.
Àì-sọ̀rọ̀ ní ń mú ẹnu rùn. ,One should always say one’s piece in a discussion.
Ajá èṣín ò mọdẹ. ,One learns from experience and maturity.
Ajá là bá kí; èse ò pẹran fúnni jẹ. ,Assign commensurate values to your assets.
Ajá ti eré-e rẹ̀ẹ́ bá dánilójú là ń dẹ sí ehoro.,One entrusts important tasks only to those one can trust. 
Ajá tí ò létí ò ṣé-é dẹ̀gbẹ́ . ,A person who cannot be instructed is useless.
"Ajá tó gbé iyọ̀, kí ni yó fi ṣe? ",Do not expend your effort on senseless ventures.
Ajá tó lè sáré là ń dẹ sí egbin.,One entrusts important tasks only to those one can trust.
Ajàkàṣù ò mọ̀ bí ìyàn-án mú. ,Greed knows no thrift.
Àjànàkú kúrò lẹ́ran à ń gọ dè. ,The wise person puts some distance between himself and a formidable adversary.
Àjànàkú ò ṣéé rù. ,Some tasks are impossible to accomplish.
"Ìjàpá ní kò sí ohun tó dà bí ohun tí a mọ̀ ọ́ṣe; ó ní bí òun bá ń rìn lóko ẹ̀pà, ọ̀kọ̀ọ̀kan a máa bọ́ sóun lẹ́nu. ","When one does what one is a true expert at doing, it seems like performing magic."
Ìjàpá ní ọjọ́ tí òun ti jágbọ́n-ọn òo lọrùn ò ti wọ òun mọ́. ,One who says yes to every request avoids a great many arguments.
Ìjàpá ń yan lóko; aláìlóye-é ní ó jọ pẹ́pẹ́yẹ. ,It is indeed a fool who cannot discern the obvious.
Àjẹ́gbà ni ti kọ̀ǹkọ̀. ,It is in the nature of sheep to follow and to lack initiative.
Àjẹkù là ń mayo. ,How one lives will show how well off one is.
Àjẹkù làgbẹ̀ ń tà. ,One takes care of one’s own needs before one disposes of the excess. 
Àjẹsílẹ̀-ẹ gbèsè tí ò j kí ẹgbẹ̀fà tóó ná.,Existing debts eat new fortunes away.
A-jí-má-bọ̀ọ́jú: tí ń fi ojú àná wòran. ,A person who does not keep his eyes peeled for developments is ever behind time.
Àjímú kì í tí. ,The task to which one gives the highest priority does not suffer.
Àjò kì í dùn kódídẹ má rè Ìwó. ,The so-journer should never allow the pleasantness of his or her sojourn to obliterate thoughts of returning home. 
Àjò kì í dùn kónílé má relé. ,The traveler should never forget his or her home. 
"Àjòjí lójú, ṣùgbọ́n kò fi ríran.",A stranger’s eyes are blind to the intricacies of his or her new surroundings.
À-jókòó-àì-fẹ̀hìntì bí ẹní nàró ni. ,Never do things by half measures.
A-ká-ìgbá-tà-á náwó ikú. ,Whoever engages in a dangerous venture more than earns his or her pay.
Àkámọ́ ẹkùn-ún níyọnu. ,One should be wary in deciding what prey to stalk.
Àkísà aṣọ la fi ń ṣe òṣùká. ,One’s most valuable possessions are not for careless use.
"Àkó balẹ̀, ó fi gbogbo ara kígbe. ",A person who needs help should not be coy in asking.
"Akọ̀pẹ Ìjàyè ò gbọ́ tiẹ̀, ó ní ogún kó Agboroode. ",The wise person learns from others’ misfortunes instead of gawking at them.
Aláàárù kì í ru ẹṣin. ,Certain tasks are impossible to accomplish.
"Aláàjàá gbé e sókè, o ní, ‘‘Kó ṣẹ!’’; o mọ̀ bí ibi lówí tàbí ire? ",One should be certain about what is happening before one intervenes or becomes involved.
Alágbàfọ̀ kì í bá odò ṣọ̀tá. ,One does not turn one’s back on one’s means of livelihood.
Alákatam̀pòó ṣe bí ọ̀bọ ò gbọ́n; ọ̀bọ́ gbọ́n; tinú ọ̀bọ lọ̀bọ́ ń ṣe. ,It matters nothing to be derided as long as you know what you are doing and why.
Alákìísà ní ń tọ́jú abẹ́rẹ́ tòun tòwú. ,Each person looks after his her own interests.
"Aláǹtakùn, bí yóò bá ọ jà, a ta ká ọ lára. ","The attentive person can detect signs of hostility before it occurs. Also, one makes good preparations before embarking on a venture."
"Aláǹtakùnún takùn sí ìṣasùn, ṣíbí gbọludé. ","In the absence of the proper tools, one cannot fault the laborer for being idle."
Aláṣedànù tí ń fajá ṣọdẹ ẹja. ,It is folly to employ an impossible tool for a given task.
